List (merge),Link,SteamID,Included when searching,Other keywords,Federico's vote,Linas' vote,Simone's vote,Federica's vote,Final decision,potential for decentering,Instructions:,,,,,,Federico's list
Spirit Island,https://store.steampowered.com/app/1236720/Spirit_Island/,1236720,Strategy,,Yes,no,no,No,No,decenter?,,,,,,,
Story of Animal Sprite,https://store.steampowered.com/app/2301850/Story_of_Animal_Sprite/,2301850,Sandbox,,No,no,,No,No,,,,,,,,
Swallow the Sea,https://store.steampowered.com/app/1511860/Swallow_the_Sea/,1511860,"Survival, Atmospheric",,No,no,,No,No,,,,,,,,
Terra Firma,https://store.steampowered.com/app/1482770/Terra_Firma/,1482770,Strategy,,No,yes,no,No,No,similar to Biomisland / possible check,,,,,,,
Terra Nil,https://store.steampowered.com/app/1593030/Terra_Nil/,1593030,"Strategy, Atmospheric, Resource Management",,Yes,yes,,Yes,Yes,,,,,,,,
The Sapling,https://store.steampowered.com/app/997380/The_Sapling/,997380,"Sandbox, Survival",,No,no,no,No,No,,,,,,,,
The Wilds,https://store.steampowered.com/app/1028590/The_WILDS/,1028590,Survival,,Yes,yes,,Yes,Yes,,,,,,,,
Thrive,https://store.steampowered.com/app/1779200/Thrive/,1779200,Survival,,No,yes,no,No,No,,,,,,,,
Timberborn,https://store.steampowered.com/app/1062090/Timberborn/,1062090,"Sandbox, Strategy, Survival",,Yes,yes,,Yes,Yes,,,,,,,,
Viridi,https://store.steampowered.com/app/375950/Viridi/,375950,"Sandbox, Atmospheric",,No,yes,no,No,No,nurture a small pot of succulents,,,,,,,
World End Diner,https://store.steampowered.com/app/1647190/World_End_Diner/,1647190,Sandbox,,Yes,yes,,Yes,Yes,,,,,,,,
Wolf Quest: Anniversary Edition,https://store.steampowered.com/app/926990/WolfQuest_Anniversary_Edition/,926990,"Science, Education",Survival,Yes,yes,,Yes,Yes,,,,,,,,
Wolf Quest: Classic,https://store.steampowered.com/app/431180/WolfQuest_Classic/,431180,"Science, Education",Survival,Yes,yes,,Yes,Yes,,,,,,,,
Plantera 2: Golden Acorn ,https://store.steampowered.com/app/1091920/Plantera_2_Golden_Acorn/,1091920,Resource Management,,No,no,,No,No,,,,,,,,
Planet Zoo,https://store.steampowered.com/app/703080/Planet_Zoo/,703080,Resource Management,,No,no,no,Yes,No,,,,,,,,
Distant Bloom,https://store.steampowered.com/app/1450250/Distant_Bloom/,1450250,Resource Management,,No,yes,yes,Yes,Yes,From a world in ruins to a world in bloom,,,,,,,
,,,,,,,,,,,,,,,,,
Root,https://store.steampowered.com/app/965580/Root/,965580,Snowballed,,No,no,,No,No,,,,,,,,
Beyond Blue,https://store.steampowered.com/app/883360/Beyond_Blue/,883360,Atmospheric,,No,no,yes,No,No,"Need a decision here. human-animal interaction below the sea, but I don't think it faces existing problems",,,,,,,
NUTS,https://store.steampowered.com/app/768450/NUTS/,768450,Atmospheric,,No,no,,No,No,,,,,,,,
Bottle Can Float,https://store.steampowered.com/app/2576600/Bottle_Can_Float/,2576600,Atmospheric,,Yes,yes,,Yes,Yes,,,,,,,,
Far from Noise,https://store.steampowered.com/app/706130/Far_from_Noise/,706130,Atmospheric,,No,no,,No,No,,,,,,,,
Chionophile,https://store.steampowered.com/app/1432750/Chionophile/,1432750,Atmospheric,,No,no,,No,No,,,,,,,,
Garden Life: A Cozy Simulator,https://store.steampowered.com/app/1915380/Garden_Life_A_Cozy_Simulator/,1915380,Atmospheric,,No,no,,No,No,,,,,,,,
Diluvian Winds: Prologue,https://store.steampowered.com/app/1561040/Diluvian_Winds/,1561040,Resource Management,,No,no,yes,No,No,,,,,,,,
United Penguin Kingdom: Huddle up,https://store.steampowered.com/app/2635350/United_Penguin_Kingdom/,2635350,Resource Management,"Survival, Strategy",No,yes,yes,Yes,Yes,,,,,,,,
Forest Spirit,https://store.steampowered.com/app/2518770/Forest_Spirit/,2518770,Resource Management,,No,no,no,Yes,No,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,yes,45,I will remove games with less than 40-50 reviews,,,,,
,,,,,,,,,,no,32,,,,,,
,,,,,,,,,,meeting,0,,,,,,
